AREA,PERIMETER,SDL_GRDP,SDL_GRDPID,POINT,SITECODE,PI,EXPERIMENT,MAX_PDOP,CORR_TYPE,GPS_DATE,GPS_TIME,DATAFILE,UNFILT_POS,STD_DEV,GPS_HEIGHT,STAKE,LTER_POINT,_Avg_NDVIc,_Avg_NDVIs,MEAN_Avg_NDVI,_Avg_NDV_1,_Avg_NDV_2,_Avg_NDV_3,_Avg_NDV_4,_Avg_NDVIr,_Avg_NDVIv
0,0,1,179,399,GSTAKE20A,Skip Walker,observational-point,1.8,Realtime Corrected,9/17/1998,12:32:21PM,r091715a.ssf,31,0.096676,3544.649,20A,201,10,3.799143523,0.379914352,0.389711604,0.044376003,0.307238251,0.446356088,0.139117837,0.00196923
0,0,2,183,403,GSTAKE30A,Skip Walker,observational-point,1.6,Realtime Corrected,9/17/1998,12:37:18PM,r091715a.ssf,27,0.110975,3544.236,30A,301,10,1.928540945,0.192854095,0.181286648,0.04626681,0.127437711,0.251781225,0.124343514,0.002140618
0,0,3,185,405,GSTAKE40A,Skip Walker,observational-point,1.6,Realtime Corrected,9/17/1998,12:40:49PM,r091715a.ssf,20,0.072531,3540.11,40A,401,12,4.811758041,0.400979837,0.405156985,0.037283889,0.300447673,0.443433017,0.142985344,0.001390088
0,0,4,189,409,GSTAKE50A,Skip Walker,observational-point,1.8,Realtime Corrected,9/17/1998,12:44:15PM,r091715a.ssf,20,0.06784,3536.062,50A,501,13,5.83277832,0.448675255,0.486720115,0.107178425,0.235903785,0.575020492,0.339116707,0.011487215
0,0,5,193,413,GSTAKE60A,Skip Walker,observational-point,1.8,Realtime Corrected,9/17/1998,12:47:23PM,r091715a.ssf,20,0.082853,3533.549,60A,601,12,7.177109778,0.598092481,0.597248226,0.026498769,0.559475183,0.63691926,0.077444077,0.000702185
0,0,6,197,417,GSTAKE70A,Skip Walker,observational-point,2,Realtime Corrected,9/17/1998,12:50:23PM,r091715a.ssf,24,0.068427,3529.299,70A,701,14,7.783467531,0.555961967,0.552183628,0.024100496,0.521278262,0.603837609,0.082559347,0.000580834
0,0,7,201,421,GSTAKE80A,Skip Walker,observational-point,2.1,Realtime Corrected,9/17/1998,12:53:46PM,r091715a.ssf,20,0.07206,3521.497,80A,801,12,6.416753054,0.534729421,0.559697568,0.08511971,0.420303643,0.630317688,0.210014045,0.007245365
0,0,8,205,425,GSTAKE80,Skip Walker,observational-point,2.1,Realtime Corrected,9/17/1998,12:56:52PM,r091715a.ssf,30,0.113442,3514.606,80,80,10,5.468973786,0.546897379,0.562681913,0.035958693,0.47087118,0.584650993,0.113779813,0.001293028
0,0,9,209,429,GSTAKE70,Skip Walker,observational-point,2.1,Realtime Corrected,9/17/1998,12:59:34PM,r091715a.ssf,20,0.053914,3521.779,70,70,13,6.738293588,0.518330276,0.514532387,0.051677336,0.403150737,0.66021657,0.257065833,0.002670547
0,0,10,213,433,GSTAKE60,Skip Walker,observational-point,2.1,Realtime Corrected,9/17/1998,01:03:08PM,r091715a.ssf,22,0.080001,3526.788,60,60,13,6.445621163,0.495817013,0.513593435,0.081698587,0.323955953,0.630744278,0.306788325,0.006674659
0,0,11,217,437,GSTAKE50,Skip Walker,observational-point,2.1,Realtime Corrected,9/17/1998,01:06:12PM,r091715a.ssf,20,0.091251,3530.358,50,50,13,5.656852692,0.435142515,0.440028161,0.033519289,0.377604038,0.477493852,0.099889815,0.001123543
0,0,12,221,441,GSTAKE40,Skip Walker,observational-point,2.1,Realtime Corrected,9/17/1998,01:08:47PM,r091715a.ssf,20,0.089971,3533.41,40,40,10,4.089569986,0.408956999,0.426233426,0.063623858,0.269759625,0.475795448,0.206035823,0.004047995
0,0,13,225,445,GSTAKE30,Skip Walker,observational-point,2.1,Realtime Corrected,9/17/1998,01:11:13PM,r091715a.ssf,20,0.058364,3536.385,30,30,13,5.717318058,0.439793697,0.44073385,0.015809077,0.415271133,0.470641851,0.055370718,0.000249927
